,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686
0,MX4598-0,,,,,,,,,,,,,,,,,,,,1,-1,1,1,,-1,-1,-1
1,MX4365-0,,,,,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2,MX4458-0,-1,,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,2,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
3,MX4535-0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
4,MX3651-0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,3,-1,1,1,-1,-1,1,-1,-1,-1,1,-1
5,MX4365-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,3,-1,-1,-1,-1
6,MX4458-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,,,-1,-1
7,MX4535-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1
8,MX3651-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1
9,MX4598-1,-1,,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,,-1,-1
10,MX4365-2,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,1,3,1,-1
11,MX4458-2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
12,MX4535-2,-1,1,-1,1,1,1,1,-1,2,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
13,MX3651-2,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
14,MX4458-3,-1,2,1,1,1,2,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1
15,MX4598-2,,1,-1,1,1,-1,1,-1,2,-1,-1,1,-1,1,1,-1,1,1,1,1,1,4,-1,,1,1,-1
16,MX4365-3,,1,1,1,1,2,1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,-1
17,MX3651-3,-1,,2,1,1,1,1,-1,2,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
18,MX4598-3,-1,2,1,1,1,1,1,-1,2,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,2,1,1,1,-1
19,MX4365-4,,1,-1,1,1,2,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,-1,-1
20,MX4535-3,-1,1,1,1,1,1,1,-1,2,-1,1,1,1,-1,1,1,1,1,1,1,1,4,1,1,2,1,-1
21,MX3651-4,-1,2,1,1,1,2,1,-1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,-1
22,MX4598-4,,2,1,2,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1
23,MX4535-4,-1,1,1,1,2,1,1,-1,3,-1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,-1,-1
24,MX3651-5,-1,1,-1,1,2,2,1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,-1
25,MX4598-5,,,1,1,2,2,1,-1,2,-1,1,1,1,1,1,-1,2,1,1,1,1,-1,-1,-1,3,1,-1
26,MX3651-6,-1,1,1,1,1,2,-1,-1,2,-1,1,1,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1
27,MX4535-5,-1,1,1,1,2,-1,1,-1,1,-1,1,-1,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,-1
28,MX4598-6,,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
29,MX4535-6,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1
30,MX4598-7,,,,,,,,,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,,,
31,MR7893-0,-1,-1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,
