,Bus,M1/12,M7/3,M271,M105,M272,M61/2,M73/1,M270/1,M153/2,M173/2,M172/14,T403,T402,T309,T313,T315,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T360,T376/2,T363/2,T306/1,T314/2,T311/1,T308/1,T300,T330/1,M172/16,M160/1,M144/2,M76/2,M84/1,M91,M14,M8/1,M1/12
0,MX4535-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,-1,1,-1,-1
1,MX3651-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,-1,-1,-1,1,-1,1,3,1,1,-1
2,MS1953-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,-1,-1,1,-1,1,1,3,1,1,1,2,1,1,-1
3,MX4021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,2,1,-1,1,1,1,1,-1
4,MX4041-0,,,,,,,,,,,,,,,,,,,,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
5,MX4159-0,,,,,,,,,,,,,,,,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
6,MX4338-0,,,,,,,,,,,1,1,1,1,1,1,1,1,1,-1,-1,1,2,-1,-1,1,1,-1,1,,1,1,1,1,1,1,1,1,-1,1,1,-1,3,2,4,1,1,1,1,-1
7,MX4365-0,,,,,,1,1,-1,1,4,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,5,2,1,1,1,-1
8,MX4383-0,-1,,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,1,3,1,1,-1
9,MX4388-0,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1
10,MX4458-0,-1,1,1,1,1,1,1,1,3,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,5,1,1,1,1,1,-1,1,-1,1,1,1,2,2,3,1,2,1,1,-1
11,MX4535-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,3,-1,-1,1,1,1,-1,1,1,1,1,2,1,1,1,1,-1,-1,1,1,-1,1,3,3,1,1,1,1,-1
12,MX3651-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,1,1,1,1,-1
13,MS1953-1,-1,1,-1,-1,1,1,1,-1,-1,5,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1
14,MX4021-1,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,4,4,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,-1
15,MX4041-1,,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,-1
