,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,1,1,1,-1,-1
2,MW5898-0,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,-1,1,4,1,1,1,1,1,1,1,1,-1,-1
3,MX1084-0,,,,,,,,,,,,,1,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
4,MX1135-0,,,-1,-1,-1,-1,-1,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,2,1,1,2,-1,-1
5,MZ3559-0,-1,-1,1,1,1,1,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,-1,-1
6,MZ3734-0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,1,4,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,1,1,1,1,2,1,1,5,-1,-1
7,MZ3740-0,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,4,2,2,2,3,2,1,1,1,-1,-1
8,MZ3825-0,-1,-1,-1,1,1,1,-1,4,-1,1,1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,3,-1,-1
9,MZ3978-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,-1,-1
10,MZ3987-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,1,1,-1,-1
11,MW3528-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,2,1,2,1,1,3,1,1,1,2,3,2,1,1,-1,-1
12,MZ4228-0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,2,1,1,4,1,1,1,2,,-1
13,MZ4072-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,2,1,1,4,2,1,1,2,1,1,1,1,-1,-1
14,MW5936-0,-1,-1,-1,1,1,1,-1,3,-1,1,1,-1,4,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,3,3,1,4,-1,1,1,1,-1,-1
15,MZ3556-0,-1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,3,1,2,1,1,-1,-1
16,MZ3956-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,-1,-1
17,MW5898-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,-1,-1
18,MX1197-0,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,4,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,3,4,1,1,-1,1,1,1,-1,-1
19,MW5966-0,,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,-1,-1
20,MW5943-0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,-1,-1
21,MW3516-0,-1,1,1,1,1,1,1,1,-1,1,1,-1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,4,4,1,1,1,1,1,1,-1,-1
22,MX1135-1,,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,5,4,1,1,1,1,1,1,-1,-1
23,MW5853-0,,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,3,2,1,4,1,1,1,1,-1,-1
24,MZ3559-1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,2,1,4,1,1,1,1,-1,-1
25,MZ3734-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,-1,-1
26,MZ3740-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,3,2,2,-1,1,1,1,-1,-1
27,MZ3825-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,1,1,1,1,1,1,-1,-1
28,MZ3978-1,-1,1,4,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,2,1,1,1,1,-1,1,1,1,1,1,1,4,4,1,2,-1,1,1,1,-1,-1
29,MZ3987-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,3,4,1,1,1,1,1,1,-1,-1
30,MW3528-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,3,4,1,4,1,2,1,1,-1,-1
31,MZ4228-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,2,3,1,1,1,2,1,2,-1,-1
32,MZ4072-2,-1,1,-1,-1,-1,-1,5,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,-1,-1
33,MW5936-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,-1,-1
34,MZ3556-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,-1,-1
35,MX1197-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,2,1,1,2,1,1,1,-1,-1
36,MP5991-0,-1,-1,1,1,1,1,1,1,-1,1,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,-1,-1
37,MW5966-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,-1,-1
38,MW5943-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,5,2,1,1,1,1,1,3,-1,-1
39,MZ3956-2,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,3,-1,-1
40,MW5898-2,-1,-1,1,1,1,4,4,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,3,1,1,1,2,1,1,-1,-1
41,MP5834-0,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1,,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,2,1,1,1,2,1,1,-1,-1
42,MW3516-1,,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,-1,-1
43,MX1135-2,,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,4,1,1,1,1,1,1,1,-1,-1
44,MZ3559-2,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,-1,-1
45,MZ3734-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,-1,-1
46,MZ3740-2,-1,-1,-1,3,3,3,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,-1,-1
47,MZ3825-2,-1,-1,1,1,1,1,1,1,-1,1,2,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,2,1,1,1,1,2,1,-1,-1
48,MZ3978-2,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,-1,1,1,1,1,1,4,2,2,1,1,1,1,2,1,-1,-1
49,MZ3987-2,-1,-1,1,-1,-1,-1,1,1,-1,1,1,1,4,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,-1,-1
50,MZ4228-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,4,4,1,2,1,1,1,1,1,-1,-1
51,MW3528-2,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,-1,-1
52,MZ4072-3,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,-1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,-1,-1
53,MZ3556-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,2,2,1,1,1,1,1,-1,-1
54,MZ3956-3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,4,2,1,1,1,1,1,1,-1,-1
55,MW5898-3,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,4,4,1,2,1,1,1,1,1,-1,-1
56,MP5863-0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,1,1,1,1,1,1,1,-1,-1
57,MW3516-2,,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,2,1,1,-1,-1
58,MX1135-3,,,1,1,1,1,1,-1,-1,1,1,1,1,1,1,2,2,1,1,1,-1,1,1,1,1,1,1,4,2,1,2,-1,1,1,1,-1,-1
59,MZ3559-3,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,3,3,2,2,1,1,1,1,3,-1,-1
