,Bus,C690/1,C689/2,T360,T378,T397,T395,T366,T374,T406,T345/1,T317,M206/2,M216,M207,M63,M67,M65,M93
0,AA7536-0,,,,,,,,,1,,1,,1,1,1,-1,-1,-1
1,AA7637-0,,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1
2,MW4366-0,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,-1,-1,-1
3,MW4647-0,1,1,1,,,1,1,1,1,1,1,1,3,1,1,-1,-1,-1
4,MW4705-0,1,1,1,1,-1,-1,1,1,1,1,1,1,4,1,1,-1,-1,-1
5,AA6952-0,1,1,1,1,-1,-1,1,1,1,-1,1,,2,1,1,-1,-1,
6,AA69-59-0,,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,,,,
7,MW4781-0,,1,1,1,-1,-1,1,1,1,1,1,,,,,,,
8,AA7286-0,1,1,1,1,1,1,1,-1,1,-1,,,,,,,,
9,MW4619-0,1,1,1,,,,,,,,,,,,,,,
10,AA7706-0,,,1,1,1,1,1,-1,1,,,,,,,,,
11,AA74-92-0,1,,,,,,,,,,,,,,,,,
