,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C686,C656,C654/3,C653/2,C692,C689/1,T355/2,T360,T376/1,T363/1,T374,T406,T345/1,T322,T342,T409,T368,T324/2,T327,T326/2,T337,T334,T430,M177,M198/1,M183/2,M140/1,M137/2,M132/1,M200,M201,M121,M119,M113,M94,M95/3
17,MW2390-2,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-1,1,1,-1,-1,-1
18,MW3496-2,,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,-1,2,1,-1,-1,-1
19,MW5645-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,-1,-1,-1
20,MW2780-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,2,4,-1,-1,-1
21,MS2259-2,,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,,1,,,,1,1,1,,1,1,1,1,1,1,,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1,2,1,-1,-1,-1
22,MW3430-2,,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,-1,1,4,-1,-1,-1
23,MW2856-2,,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,-1,1,2,-1,-1,-1
24,MX1084-1,,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-1,-1,1,2,-1,-1,-1
25,MW2390-3,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,-1,1,2,-1,-1,-1
26,MW5645-3,-1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,-1,1,1,-1,-1,-1
27,MW3496-3,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,-1,1,2,-1,-1,-1
28,MW3974-0,-1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,-1,-1,,-1,,1,2,1,1,1,1,1,1,-1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-1,1,1,,,-1
29,MS2259-3,-1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,,,1,1,1,-1,1,1,1,-1,-1,1,1,2,1,1,1,1,1,2,-1,1,2,1,5,1,1,1,1,1,1,1,1,2,1,1,-1,-1,-1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,
30,MW2856-3,-1,1,2,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,2,1,1,1,1,1,4,-1,1,4,1,1,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MW3430-3,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,
32,MW3053-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MX1084-2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,MW2390-4,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MW3496-4,,1,1,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
