,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,-1,1,1,-1,-1
1,MZ4228-0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,-1,-1,1,1,-1,-1
2,MW5853-0,,,,,,,,,,,,,,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1
3,MZ3556-0,,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1
4,MZ3559-0,-1,-1,1,-1,-1,-1,-1,3,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,-1,-1
5,MZ3734-0,-1,-1,-1,1,1,-1,-1,2,1,1,4,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,-1
6,MX1135-0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,-1,-1
7,MZ3825-0,-1,-1,-1,1,1,1,-1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,-1,-1
8,MZ3956-0,-1,1,1,1,1,1,1,1,1,-1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,-1,-1
9,MZ3978-0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,-1,-1
10,MZ3987-0,-1,-1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,-1,-1
11,MZ4072-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,4,1,2,1,1,1,1,-1,-1
12,MZ4228-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,-1,-1
13,MW5853-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,-1
14,MZ3556-1,-1,-1,1,-1,1,1,4,4,-1,-1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,3,1,1,1,-1,-1
15,MZ3559-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
16,MZ3734-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,-1,-1
17,MX1135-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,1,-1,-1
18,MZ3825-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,-1,-1
19,MZ3956-1,-1,-1,1,1,1,1,-1,1,1,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
20,MZ3978-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,-1,1,1,-1,-1
21,MZ3987-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,1,1,-1,-1
22,MZ4072-2,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,-1,-1
23,MW5943-0,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,-1,-1
24,MZ4228-2,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,-1,-1
25,MW5853-2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,-1,-1
26,MP5834-0,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,-1,-1
27,MW5966-0,-1,-1,-1,1,1,1,-1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,-1,-1
28,MZ3559-2,-1,-1,3,1,1,1,1,1,-1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,2,1,1,1,-1,-1
29,MW5936-0,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,2,1,1,-1,-1
30,MZ3556-2,-1,-1,1,-1,-1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,1,3,1,1,-1,-1
31,MX1084-0,-1,-1,-1,1,-1,-1,-1,-1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,2,-1,-1
32,MW5898-0,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,-1,-1
33,MZ3734-2,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,-1,-1
34,MX1135-2,,-1,-1,-1,-1,-1,-1,-1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
35,MZ3956-2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
36,MZ3825-2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,-1
37,MZ3978-2,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
38,MW5943-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,1,1,3,-1,-1
39,MZ3987-2,-1,-1,1,1,1,1,-1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,4,1,2,1,-1,-1
40,MZ4072-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,1,-1,-1
41,MW5966-1,-1,1,1,1,-1,-1,-1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,1,1,1,1,-1,-1
42,MZ4228-3,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,5,3,1,2,1,1,1,1,1,-1,-1
43,MW5853-3,-1,-1,-1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,5,2,4,1,1,1,1,1,1,-1,-1
44,MW5936-1,-1,1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,-1,1,1,1,3,1,1,-1,-1
45,MZ3556-3,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1,2,3,1,1,1,-1,-1
46,MX1084-1,-1,-1,-1,1,1,1,-1,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1,2,1,2,1,1,-1,-1
47,MZ3559-3,-1,-1,2,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,5,4,2,1,2,1,2,1,-1,-1
