,Bus,M93,M108/1,M60,M1/13,M222/2,M244,M219/1,M235,T316,T354/2,T345/5,T344,T356/1,T358,T373/2,T367,T394,T396,T377,T359,C688/2,C690/1
0,AA7101-0,,,,,,,,,,,,,,,,,,,1,1,-1,-1
1,AA7536-0,,,,,,,,,,-1,,-1,-1,-1,1,-1,1,1,1,1,1,-1
2,AA7706-0,,,,,,,,1,1,-1,-1,-1,-1,1,1,1,1,-1,4,1,1,-1
3,AA7248-0,,,,,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1
4,AA7149-0,,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,4,1,1,-1
5,AA7195-0,-1,,-1,-1,-1,-1,-1,1,1,-1,,-1,-1,-1,1,1,1,-1,-1,1,1,-1
6,AA6952-0,-1,-1,-1,-1,-1,,3,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1
7,AA7488-0,-1,-1,-1,-1,-1,2,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,4,1,1,-1
8,AA7721-0,,-1,1,-1,-1,4,,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1
9,MW4640-0,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,4,1,1,-1
10,AA7530-0,,-1,1,-1,-1,1,-1,1,1,-1,,-1,-1,-1,1,1,1,2,1,1,1,-1
11,AA7322-0,-1,-1,1,-1,,,,1,1,-1,,,-1,-1,1,1,1,-1,1,1,1,-1
12,AA7101-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1
13,AA7536-1,-1,,-1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
14,AA7706-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,-1
15,AA7195-1,,-1,1,-1,-1,,2,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
16,AA7248-1,-1,-1,1,-1,-1,1,-1,1,1,-1,,-1,-1,1,1,1,1,1,4,1,1,-1
17,AA7149-1,,-1,1,-1,-1,1,3,1,1,-1,,-1,-1,1,1,1,1,1,2,1,1,-1
18,AA6952-1,,,1,-1,-1,,2,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1
19,AA7488-1,-1,-1,1,-1,-1,1,3,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
20,MW4640-1,-1,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,3,1,1,-1
21,AA7530-1,-1,-1,1,-1,-1,1,2,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
22,AA7322-1,-1,-1,-1,-1,,,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
23,AA7706-2,-1,-1,-1,-1,-1,1,3,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
24,AA7195-2,-1,,,-1,-1,,,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
25,AA7101-2,,-1,1,-1,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
26,AA7536-2,-1,-1,-1,-1,-1,1,3,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
27,AA7248-2,,,1,-1,-1,4,2,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1
28,AA7149-2,,-1,-1,-1,-1,,2,1,1,-1,,-1,-1,1,1,1,1,1,1,1,1,-1
29,AA6952-2,,-1,1,-1,-1,,2,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
30,AA7488-2,-1,-1,-1,,-1,1,3,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1
31,MW4640-2,-1,-1,1,-1,-1,4,2,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1
32,AA7322-2,,-1,-1,-1,-1,3,2,1,1,-1,,-1,-1,1,1,1,1,1,3,1,1,-1
33,AA7101-3,-1,-1,1,-1,-1,3,3,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1
34,AA7536-3,-1,-1,1,,-1,1,2,1,1,-1,,-1,-1,1,1,1,1,1,-1,1,1,-1
35,AA7248-3,,-1,-1,-1,-1,,3,1,1,-1,,,,1,1,1,1,1,-1,1,1,-1
36,AA7149-3,,-1,-1,-1,-1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1
