,Bus,M95/3,M22,M10/2,M16/1,M109,M112,M127,M125,M136/2,M139/2,M184,M188,M203/2,M182/1,T431,T335/2,T338,T326/3,T332/2,T325/3,T339/4,T408/1,T343,T316,T354/2,T333,T345/5,T344,T356/1,T358,T373/2,T375,T380,T379,T359,T355/1,C688/1,C691,C652,C655,C657,C659
0,MS1903-0,,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,4,-1,-1,-1,1,-1
1,MS1935-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
2,MS1953-0,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,2,1,-1,1,-1
3,MS1044-0,,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,4,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,5,1,1,1,1,-1
4,MS1935-1,,1,2,4,1,,,,,,,,,1,1,1,1,,,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,4,-1
5,MS1903-1,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1
6,MP6025-0,4,1,1,3,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,,1,-1,1,-1,1,1,-1,1,2,1,1,-1,-1
7,MS1953-1,,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,-1,1,-1
8,MS1044-1,,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1
9,MS1935-2,,1,,1,1,1,1,1,1,,,,,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,2,1,1,1,-1
10,MS1953-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1
11,MS1044-2,4,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,2,1,-1,1,1,1,1,-1,1,1,4,-1
12,MS1903-2,-1,1,1,2,1,3,1,1,1,1,2,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,4,5,-1
13,MS1935-3,,1,,2,1,,,,,,,,1,1,1,,1,,,,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,2,1,-1
14,MX1517-0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,1,,,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1
15,MS1044-3,,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,2,1,1,1,1,-1
16,MS1903-3,,1,1,1,3,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,2,1,-1,-1,-1
17,MS1935-4,,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,4,1,1,1,-1
18,MX1517-1,,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,-1,5,1,1,1,-1,-1
19,MS1044-4,,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,2,-1,1,-1,1,1,1,1,1,-1,-1
20,MS1903-4,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,-1,-1
21,MS1935-5,-1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,,-1,-1,-1
22,MS1044-5,-1,1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1
23,MS1903-5,,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,
