,Bus,C669/2,C687,C675,C668,C678,C665,C663,C661,C659,C656,C654,C653/2,C692,C689/1,T360,T376/1,T363/1,T367,T365/2,T361,T325/2,T339/2,T311/2,T308/3,T300,T330/1,M172/3,M171/2,M134,M132/1,M129,M114,M113,M14,M12,M21/1,M95/3
0,MZ4072-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1
1,MZ3956-0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,3,-1,-1
2,MW5898-0,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,-1
3,MX1084-0,,,,,,,,,,,,,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,2,1,-1,-1
4,MW3116-0,,,,,,-1,1,-1,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1,1,-1,1,3,1,1,1,1,1,1,1,1,-1,-1
5,MZ3559-0,,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,-1,-1,-1
6,MZ3734-0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,2,-1,-1,-1
7,MZ3740-0,-1,-1,3,-1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,3,1,1,1,2,1,-1,-1
8,MZ3825-0,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,1,4,1,2,3,3,1,2,1,1,-1,-1
9,MZ3987-0,-1,-1,1,-1,-1,-1,-1,-1,3,1,1,2,3,1,1,1,1,1,2,3,1,1,2,3,-1,1,4,2,2,3,3,1,1,2,1,,-1
10,MW3215-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,-1,1,3,2,2,2,1,3,1,2,1,-1,-1
11,MZ4228-0,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,-1,1,-1,-1
12,MZ4072-1,-1,1,-1,1,1,1,-1,1,-1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1,2,1,-1,-1
13,MZ3556-0,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,1,3,1,1,2,1,-1,1,-1,-1
14,MW5936-0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,2,3,1,2,1,1,1,1,-1,-1
15,MZ3956-1,-1,1,1,1,1,1,1,1,-1,1,1,4,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,2,1,2,1,1,1,-1,-1,-1
16,MW5898-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,3,2,2,1,1,1,1,3,1,-1,-1
17,MS5082-0,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,4,4,2,1,1,1,1,1,-1,-1,-1
18,MW5966-0,,1,-1,1,1,-1,-1,-1,-1,-1,1,2,4,1,1,2,1,1,1,-1,1,1,1,-1,1,1,4,1,4,1,2,1,1,-1,3,-1,-1
19,MW5943-0,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,-1,-1
20,MX1084-1,,,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,5,4,1,1,2,1,1,1,-1,-1
21,MW3116-1,,1,1,1,1,1,1,1,-1,1,1,1,3,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,5,4,1,-1,1,2,-1,1,-1,-1
22,MX1213-0,,-1,1,1,1,1,2,1,-1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,-1,1,1,4,2,4,2,1,1,1,1,1,-1,-1
23,MZ3559-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,-1,1,4,2,3,2,1,3,1,1,1,-1,-1
24,MZ3734-1,-1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,-1,1,1,2,3,4,4,3,1,1,1,1,-1,-1
25,MZ3740-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,2,1,4,3,1,1,2,1,1,-1,-1
26,MZ3825-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,3,1,3,3,1,1,1,1,1,-1,-1
27,MZ3987-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,2,2,1,2,1,2,-1,2,-1,-1
28,MW3215-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,4,1,1,1,1,1,-1,2,-1,-1
29,MZ4228-1,-1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,3,4,1,1,1,1,1,1,1,-1,-1
30,MZ4072-2,,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,3,4,1,1,2,1,1,1,1,-1,-1
31,MZ3556-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,3,1,1,1,1,1,-1,-1,-1
32,MW5936-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,4,1,1,1,1,1,1,-1,-1,
33,MS5082-1,,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,4,5,4,1,1,1,1,1,1,-1,
34,MP5991-0,-1,1,1,1,1,-1,5,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,2,1,-1,-1,1,3,5,2,1,3,2,1,1,1,-1,-1
35,MW5966-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,4,4,3,1,1,2,1,1,1,-1,-1
36,MW5943-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,3,4,3,1,1,1,2,1,1,-1,-1
37,MP5834-0,-1,1,1,1,1,1,1,1,-1,1,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,4,5,4,1,1,2,1,1,1,-1,-1
38,MZ3956-2,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,4,3,3,1,1,1,-1,1,-1,-1
39,MW5898-2,-1,-1,1,1,1,1,1,1,-1,1,1,1,4,1,1,1,1,1,1,-1,2,1,1,1,1,1,4,5,4,1,2,2,1,1,1,-1,-1
40,MP5823-0,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,4,4,4,1,1,1,1,1,1,-1,-1
41,MX1084-2,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,4,5,3,1,1,1,1,1,1,-1,-1
42,MW3116-2,-1,-1,1,1,1,1,1,1,-1,,,1,4,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,4,2,4,2,1,1,1,1,-1,-1
43,MZ3559-2,-1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,3,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,4,2,2,1,1,1,1,1,-1,-1
44,MZ3734-2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,5,4,1,1,1,1,-1,1,-1,-1
45,MZ3740-2,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-1,-1,1,4,5,4,3,2,1,1,-1,1,-1,-1
46,MZ3825-2,-1,-1,1,2,2,1,-1,1,-1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,-1,-1,1,3,4,1,3,1,1,1,1,1,-1,-1
47,MZ3987-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,3,3,2,4,2,1,2,1,1,-1,-1
48,MZ4228-2,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-1,1,4,3,3,3,1,2,1,-1,1,-1,-1
49,MW3215-2,,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,4,2,3,1,1,1,1,-1,-1,-1
50,MZ4072-3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,4,3,2,3,1,1,2,1,1,-1,-1
51,MZ3556-2,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,3,2,2,3,1,2,1,-1,1,-1,-1
52,MZ3956-3,-1,1,-1,1,1,1,-1,-1,-1,1,1,3,1,1,1,4,1,1,1,-1,1,1,1,1,1,1,4,3,1,3,-1,1,1,1,1,-1,-1
53,MX1084-3,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,1,2,1,1,1,-1,1,2,1,-1,-1,1,3,5,1,3,1,1,1,-1,1,-1,-1
54,MW5898-3,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,3,1,1,1,-1,1,1,1,-1,1,1,4,5,2,3,1,1,1,1,1,-1,-1
55,MW3116-3,-1,1,1,1,1,1,3,1,-1,1,1,-1,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,2,2,2,4,2,1,2,1,1,-1,-1
56,MZ3559-3,-1,1,1,,1,1,5,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,2,3,1,3,1,1,1,-1,1,-1,-1
57,MZ3740-3,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,2,2,1,1,-1,1,4,4,2,2,1,1,1,2,-1,-1,-1
58,MZ3825-3,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,-1,1,4,5,2,1,1,2,1,3,1,-1,-1
59,MZ3734-3,,,,,,,,,,,,,,,,,,,,-1,1,1,1,-1,1,1,4,4,2,4,1,1,1,-1,4,-1,-1
60,MX1213-1,-1,-1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,1,,1,3,5,3,2,1,1,1,-1,2,-1,
61,MZ3987-3,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,-1,1,1,4,3,2,1,1,1,,,,
62,MW3215-3,-1,1,1,1,1,1,1,4,-1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,-1,1,1,3,2,2,1,1,1,,,,
63,MS2259-0,-1,1,1,1,1,1,1,1,-1,1,1,1,1,,1,2,1,1,1,1,3,1,1,-1,-1,1,3,2,3,,,,,,,,
64,MZ4228-3,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,3,1,1,1,1,1,1,-1,2,3,1,-1,1,1,,,,,,,,,,,
65,MZ4072-4,-1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,,,,,,,,,,,
66,MZ3556-3,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
67,MR8462-0,-1,-1,1,1,3,3,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,
68,MZ3956-4,-1,1,2,1,1,1,1,1,-1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
69,MX1084-4,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
